,name,rating,date,one,two,three,four,five,tag,tag_name,region,region_name,era,is_made_in_china,log10_proportion
6456,紫罗兰永恒花园 剧场版 劇場版 ヴァイオレット・エヴァーガーデン(2020),8.1,2020-09-18,32.1,44.2,19.6,3.7,0.3,tag3,动画,region1, 日本,2020s,0.0,1.506505032404872
6457,边缘行者(2022),5.0,2022-04-15,1.9,7.0,39.1,41.0,10.9,tag3,犯罪,region1, 中国大陆 ,2020s,1.0,0.2787536009528289
6458,比得兔2：逃跑计划 Peter Rabbit 2: The Runaway(2021),7.0,2021-03-25,7.8,38.9,47.4,5.6,0.4,tag3,冒险,region1, 澳大利亚 ,2020s,0.0,0.8920946026904804
6459,#活着 #살아있다(2020),5.7,2020-06-24,4.9,14.0,49.4,25.8,5.9,tag3,灾难,region1, 韩国,2020s,0.0,0.6901960800285137
6460,魔法奇缘2：解除魔法 Disenchanted(2022),6.1,2022-11-18,6.9,17.0,52.5,19.5,4.0,tag3,动画,region1, 美国,2020s,0.0,0.8388490907372553
6461,猫王 Elvis(2022),7.0,2022-05-25,12.3,36.9,41.9,7.5,1.5,tag3,传记,region1, 澳大利亚 ,2020s,0.0,1.089905111439398
6462,我的女友是机器人(2020),3.5,2020-09-11,1.9,2.6,14.6,32.5,48.3,tag3,科幻,region1, 中国大陆,2020s,1.0,0.2787536009528289
6463,擅长捉弄的高木同学 剧场版 からかい上手の高木さん 劇場版(2022),9.1,2022-06-10,68.4,21.8,8.1,1.0,0.8,tag3,动画,region1, 日本,2020s,0.0,1.8350561017201164
6464,丛林奇航 Jungle Cruise(2021),6.1,2021-07-30,2.7,16.5,63.9,15.2,1.6,tag3,奇幻,region1, 美国,2020s,0.0,0.43136376415898736
6465,王国：北方的阿信 킹덤：아신전(2021),7.0,2021-07-23,12.0,35.2,44.4,7.2,1.1,tag3,古装,region1, 韩国,2020s,0.0,1.0791812460476249
6466,浪客剑心 最终章 人诛篇 るろうに剣心 最終章 The Final(2021),7.6,2021-04-23,21.3,42.3,32.0,3.7,0.7,tag3,冒险,region1, 日本,2020s,0.0,1.3283796034387378
6467,紫心之恋 Purple Hearts(2022),6.6,2022-07-29,11.0,26.4,47.4,13.0,2.2,tag3,音乐,region1, 美国,2020s,0.0,1.0413926851582251
6468,圣母 Benedetta(2021),7.8,2021-07-09,19.9,52.1,25.1,2.3,0.5,tag3,历史,region1, 法国 ,2020s,0.0,1.2988530764097066
6469,打开心世界 The World to Come(2020),8.2,2020-09-06,32.9,46.2,18.5,1.8,0.6,tag3,同性,region1, 美国,2020s,0.0,1.5171958979499742
6470,界外球 In from the Side(2022),7.1,2022-03-25,18.0,34.7,34.5,10.5,2.3,tag3,同性,region1, 英国,2020s,0.0,1.255272505103306
